Code :2012     | Name:NAD27(CGQ77) / SCoPQ zone 6                                         | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2013     | Name:NAD27(CGQ77) / SCoPQ zone 7                                         | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2014     | Name:NAD27(CGQ77) / SCoPQ zone 8                                         | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2015     | Name:NAD27(CGQ77) / SCoPQ zone 9                                         | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2016     | Name:NAD27(CGQ77) / SCoPQ zone 10                                        | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2017     | Name:NAD27(76) / MTM zone 8                                              | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2018     | Name:NAD27(76) / MTM zone 9                                              | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2019     | Name:NAD27(76) / MTM zone 10                                             | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2020     | Name:NAD27(76) / MTM zone 11                                             | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2021     | Name:NAD27(76) / MTM zone 12                                             | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2022     | Name:NAD27(76) / MTM zone 13                                             | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2023     | Name:NAD27(76) / MTM zone 14                                             | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2024     | Name:NAD27(76) / MTM zone 15                                             | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2025     | Name:NAD27(76) / MTM zone 16                                             | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2026     | Name:NAD27(76) / MTM zone 17                                             | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2027     | Name:NAD27(76) / UTM zone 15N                                            | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2028     | Name:NAD27(76) / UTM zone 16N                                            | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2029     | Name:NAD27(76) / UTM zone 17N                                            | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2030     | Name:NAD27(76) / UTM zone 18N                                            | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2031     | Name:NAD27(CGQ77) / UTM zone 17N                                         | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2032     | Name:NAD27(CGQ77) / UTM zone 18N                                         | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2033     | Name:NAD27(CGQ77) / UTM zone 19N                                         | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2034     | Name:NAD27(CGQ77) / UTM zone 20N                                         | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2035     | Name:NAD27(CGQ77) / UTM zone 21N                                         | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2039     | Name:Israel / Israeli TM Grid                                            | Test result is OK!
Code :2040     | Name:Locodjo 1965 / UTM zone 30N                                         | Test result is OK!
Code :2041     | Name:Abidjan 1987 / UTM zone 30N                                         | Test result is OK!
Code :2042     | Name:Locodjo 1965 / UTM zone 29N                                         | Test result is OK!
Code :2043     | Name:Abidjan 1987 / UTM zone 29N                                         | Test result is OK!
Code :2044     | Name:Hanoi 1972 / Gauss-Kruger zone 18                                   | Test result is OK!
Code :2045     | Name:Hanoi 1972 / Gauss-Kruger zone 19                                   | Test result is OK!
Code :2046     | Name:Hartebeesthoek94 / Lo15                                             | Test result is OK!
Code :2047     | Name:Hartebeesthoek94 / Lo17                                             | Test result is OK!
Code :2048     | Name:Hartebeesthoek94 / Lo19                                             | Test result is OK!
Code :2049     | Name:Hartebeesthoek94 / Lo21                                             | Test result is OK!
Code :2050     | Name:Hartebeesthoek94 / Lo23                                             | Test result is OK!
Code :2051     | Name:Hartebeesthoek94 / Lo25                                             | Test result is OK!
Code :2052     | Name:Hartebeesthoek94 / Lo27                                             | Test result is OK!
Code :2053     | Name:Hartebeesthoek94 / Lo29                                             | Test result is OK!
Code :2054     | Name:Hartebeesthoek94 / Lo31                                             | Test result is OK!
Code :2055     | Name:Hartebeesthoek94 / Lo33                                             | Test result is OK!
Code :2056     | Name:CH1903+ / LV95                                                      | Test result is not OK: diff(lon) =  179.8632  179.9669   -0.0002  179.7413   -0.0002 | diff(lat) =   47.1221   47.0800   47.1109   47.0876   47.1193 
Code :2057     | Name:Rassadiran / Nakhl e Taqi                                           | Test result is not OK: diff(lon) =    0.0000    0.0000   -0.0000    0.0000   -0.0000 | diff(lat) =    0.0003    0.0004    0.0002    0.0004    0.0002 
Code :2058     | Name:ED50(ED77) / UTM zone 38N                                           | Test result is OK!
Code :2059     | Name:ED50(ED77) / UTM zone 39N                                           | Test result is OK!
Code :2060     | Name:ED50(ED77) / UTM zone 40N                                           | Test result is OK!
Code :2061     | Name:ED50(ED77) / UTM zone 41N                                           | Test result is OK!
Code :2062     | Name:Madrid 1870 (Madrid) / Spain                                        | Error using ==> convertCoordinates at 167 No transformation methods available ...
Code :2065     | Name:S-JTSK (Ferro) / Krovak                                             | Error using ==> convertCoordinates at 167 No transformation methods available ...
Code :2066     | Name:Mount Dillon / Tobago Grid                                          | Error using ==> convertCoordinates at 167 No transformation methods available ...
Code :2067     | Name:Naparima 1955 / UTM zone 20N                                        | Test result is OK!
Code :2068     | Name:ELD79 / Libya zone 5                                                | Test result is OK!
Code :2069     | Name:ELD79 / Libya zone 6                                                | Test result is OK!
Code :2070     | Name:ELD79 / Libya zone 7                                                | Test result is OK!
Code :2071     | Name:ELD79 / Libya zone 8                                                | Test result is OK!
Code :2072     | Name:ELD79 / Libya zone 9                                                | Test result is OK!
Code :2073     | Name:ELD79 / Libya zone 10                                               | Test result is OK!
Code :2074     | Name:ELD79 / Libya zone 11                                               | Test result is OK!
Code :2075     | Name:ELD79 / Libya zone 12                                               | Test result is OK!
Code :2076     | Name:ELD79 / Libya zone 13                                               | Test result is OK!
Code :2077     | Name:ELD79 / UTM zone 32N                                                | Test result is OK!
Code :2078     | Name:ELD79 / UTM zone 33N                                                | Test result is OK!
Code :2079     | Name:ELD79 / UTM zone 34N                                                | Test result is OK!
Code :2080     | Name:ELD79 / UTM zone 35N                                                | Test result is OK!
Code :2081     | Name:Chos Malal 1914 / Argentina 2                                       | Error using ==> convertCoordinates at 167 No transformation methods available ...
Code :2082     | Name:Pampa del Castillo / Argentina 2                                    | Test result is OK!
Code :2083     | Name:Hito XVIII 1963 / Argentina 2                                       | Test result is OK!
Code :2084     | Name:Hito XVIII 1963 / UTM zone 19S                                      | Test result is OK!
Code :2087     | Name:ELD79 / TM 12 NE                                                    | Test result is OK!
Code :2088     | Name:Carthage / TM 11 NE                                                 | Test result is OK!
Code :2089     | Name:Yemen NGN96 / UTM zone 38N                                          | Test result is OK!
Code :2090     | Name:Yemen NGN96 / UTM zone 39N                                          | Test result is OK!
Code :2093     | Name:Hanoi 1972 / GK 106 NE                                              | Test result is OK!
Code :2094     | Name:WGS 72BE / TM 106 NE                                                | Test result is OK!
Code :2095     | Name:Bissau / UTM zone 28N                                               | Test result is OK!
