CHANGE_ID,REPORT_DATE,DATE_CLOSED,REPORTER,REQUEST,TABLES_AFFECTED,CODES_AFFECTED,COMMENT,ACTION
1997.612,11/13/1997,11/13/1997,EPSG,Check Swiss coordinate systems,Trf_nonpoly  HorizCS,19922  19923  21790 21791 31800,Value of origin for trf_non-poly 19922 of 46d 57m 07.89s N 7d 26m 22.335s E given in Bollinger 1967 has not been used by the Swiss mapping agencies who have retained the earlier value of 46d 57m 08.866s N 7d 26m 22.5s E.,HorizCS 31800 (Bern 1938 / Swiss New) deleted; HorizCS 21791  referred to trf 19922 rather from 19923; trf 19922 and 19923 changed from method 9814 to 9815 with parameters 3-5 and remarks added; parameters 1 and 2 for trf 19922 corrected (see comment).
1997.613,11/13/1997,11/13/1997,EPSG,Check Madagascar coordinate systems,Tfm_nonpolynomial,19911,,Changed transformation method from 9813 to 9815; added parameter 4 and remarks.
1997.62,11/12/1997,10/20/1999,Stephan Nebiker; ETH Zurich,Add new Swiss coordinate systems,,6217  4217  21790-91  5108,,Replace g_datum 6217  geogCS 4217  projCS 21790-91 v_datum 5108  vertCS 5708 by 6149  4149  21780-1  5127  5728 respectively.  Add g_datum 6150-1  geogCS 4150-51  proj 19950  projCS 256  v_datum 5128  vertCS 5729  non-poly_tfm 1508-11  geod_tfm 8455-9.
1997.63,12/4/1997,12/8/1997,Nick Hoffman; BHP,Adopt Accessv7,,,"There is no backward compatibility between Access versions 2, 7 and 8.  However as both v7 and v8 can import v2 of the EPSG db without problem we intend to retain v2 for the time being.",Replied to requestor
1997.64,12/10/1997,3/12/1998,Hans Kremer; Chevron,Add miscellaneous geodetic datums,,,Insufficient justification provided.,Requestor asked to provide full coordinate system information.
1997.65,12/17/1997,11/11/1998,Simon-Pierre Cadieux; Formatek,Add ISO country code to CS tables,,,Use the Area table to map ISO codes to country.  Reports accept country name input.,None.
1998.01,1/6/1998,3/12/1998,Dalius Radis; HNIT-Baltic geoinfoServisas,Add Lithunian coordinate systems,Geod_Datum  HorizCS  Trf_nonpoly  Trf_path  Geod_trf,,,Added geodetic datum 6126; geogCS 4126; projection 19934; projCS 2600; non-polynomial transformations1274 & 1283; geodetic transformations 8197 & 8198.
1998.02,1/8/1998,11/11/1998,Tim Magee; Maersk,Add reporting by country facility,,,,Reports by area for GeogCS  ProjCS  and Geocentric Transformations added.
1998.03,2/14/1998,3/12/1998,Blair Parker; Crazy Mountain Joint Venture,Add Gunter's chain,UOM_length,,Gunter's chain is a measuring tool not a unit.,Add length units 9033-9035 US survey chain US survey link and US survey mile
1998.04,2/19/1998,4/16/1998,Alan Haugh; Hydrosearch,Check geodetic transformation for Indian 1975 datum,Tfm_nonpoly,1154,The values for the transformation from DMA TR8350.2 version of 1987 have not been included as it is not clear to which coordinate system these apply.  See also change record 98.05.,Amended source information for non-polynomial transformation 1154.
1998.05,2/27/1998,4/16/1998,Melita Kennedy; ESRI,Add NIMA TR8350.2 revision 3 geodetic datum transformations,Geod_trf  Trf_nonpoly,,,Added  non-polynomial transformations1284-1294 and 1304-1306; geodetic transformations 8199-8211 and 8226-8228.
1998.06,2/27/1998,6/30/1998,Melita Kennedy; ESRI,Add counties to US SPCS area of use,Tfm_nonpoly  HorizCS,,To be considered during mid-98.,Added Area_use 277-406
