CHANGE_ID,REPORT_DATE,DATE_CLOSED,REPORTER,REQUEST,TABLES_AFFECTED,CODES_AFFECTED,COMMENT,ACTION
2004.41,6/11/2004,10/14/2004,EPSG,Add Kuwait vertical data,Datum,6246 6318,,"Added origin information to datums 6246 and 6318. Added vertical datums 5186-88, vertCRSs 5788-90 and tfms 5412-14."
2004.42,6/16/2004,6/16/2004,EPSG,Update EuroGeographics url,Datum; Coordinate Reference System; Coordinate Operation,Multiple,,"In info source field of datum, CRS and coord operation tables, replaced ""http://crs.ifag.de"" with ""http://crs.bkg.bund.de/crs-eu""."
2004.43,6/16/2004,6/22/2004,Mike Horhammer; Oracle,Correct formulae,Coordinate Operation Method,9805 9810 9812 9815 9820 9829,GN7 Lambert Azimuthal Equal Area also corrected. (Remainder of probems are in transposition from GN7 to Access).,"In formula for method code 9805 (mercator), corrected ""N = FN + a*k0* ln{tan(pi/4 + lat/2)[(1 - esin(lat))(1 + esin(lat))]^e/2}"" to ""N = FN + a*k0* ln{tan(pi/4 + lat/2)[(1 - esin(lat))/(1 + esin(lat))]^e/2}"" (division sign missing). 

In formula for methods code 9810 and 9829 (polar stereographic), corrected ""E = FE  rho * sin(lon – lonO)"" to ""E = FE + rho * sin(lon – lonO)"" (addition sign missing). 

In formula for methods code 9812 and 9815 (oblique mercator):
 (i) corrected ""H = F* t0*B"" to ""H = F*(t0)^B"" (power instead of multiplication), 
 (ii) corrected ""Q’ = e- (B v ‘/ A)"" to ""Q’ = e^[- (B v ‘/ A)]"" (power sign missing). 

In formula for methods code 9810:
 (i) corrected  ""ß = sin (q / qP)"" and ""ßO = sin (qO / qP)"" to ""ß = asin (q / qP)"" and ""ßO = asin (qO / qP)"" (sin changed to asin); 
 (ii) corrected ""D = a . [cos ?O / (1 – e2 sin2 ?O)0.5] / (Rq . cos ßO)"" to ""D = a . [cos latO / (1 – e2 sin2 latO)^0.5] / (Rq . cos ßO)"" (? changed to lat and missing power sign inserted)."
2004.44,7/16/2004,7/31/2004,EPSG,Check Kuwait TM parameter values,Coordinate Operation; Coordinate Reference System,19928; 31900,,Deprecated projection 19928 and projCRS 31900; added replacements 19997 and 31901.
2004.45,8/4/2004,9/22/2004,Victor Minor; Blue Marble Geographics,Check American Samoa Lambert parameters,Coordinate Operation; Coordinate Reference System,15301; 2194,,Deprecated projection 15301 and projCRS 2194. Added replacement proj 15376 and projCRS 3102. Amended cross-referencing remarks of projCRS 2195.
2004.46,8/23/2004,8/23/2004,EPSG,Correct cross-referencing remarks,Coordinate Operation,1603,,Amended remark: changed reciprocal tfm code from 1948 to 1947.
2007.045,3/21/2007,3/27/2007,Norm Berls; Geoquest,Check Laborde formula,Coordinate Operation,9813,GN7-2 updated.,"For projection method 9813, corrected equation for q'."
2007.046,3/23/2007,3/31/2010,Stefan Horvatin; softelec,Increase precision of Transverse Mercator formulae,Coordinate Operation,,,GN7-2 updated.
2007.047,3/23/2007,3/23/2007,Stefan Horvatin; softelec,Correct geographic bounding box coordinates,Area,1686 1747 1820,,"For area code 1686 changed sign of western longitude, for area code 1820 changed sign of eastern longitude, for area code 1747 corrected western longitude."
2007.048,3/23/2007,3/23/2007,Stefan Horvatin; softelec,Correct Oblique Mercator formula,Coordinate Operation,9812 9815,,See 2007.044.
2007.049,3/23/2007,3/27/2007,Stefan Horvatin; softelec,Correct Albers Equal Area formula,Coordinate Operation,9822,GN7-2 updated.,"For projection method 9822, corrected equations for alpha and beta'."
2007.05,3/23/2007,3/23/2007,Stefan Horvatin; softelec,Add ellipsoids,,,Except in extenuating circumstances it is OGP strategy to add supporting information only when required for CRSs in the dataset.,Advised correspondent.
2007.051,4/10/2007,4/10/2007,OGP,Replace Netherlands tfm,Coordinate Operation,1672,,"Marked tfm 1672 as retired, amended remarks; added replacement 15934."
2007.052,4/20/2007,4/20/2007,OGP,Correct Tasmania area of use,Area,1272,,Amended southern and eastern ounding box limits.
2007.053,5/3/2007,5/10/2007,Sara Yurman; Spatial Focus,Add Indonesia TM3,Area,1647 1649 1651 1653 1657 1659-60 1663,,"Added areas 3510-23, proj 17432-47, projCRS 23830-45. For areas 1649 1651 1653 1657 and 1659, amended N bounding coordinate; for area 1660, amended S bounding coordinate; for area 1647, amended N and S bounding coordinates, deleted reference to hemisphere from name and area of use; for area 1663, deleted reference to hemisphere from name and area of use."
2007.054,5/8/2007,5/10/2007,Zamfir Pop; Fugro Chance,Correct Engineering datum aliases,,,,No error found in dataset. Correspondent advised to check the alias table object type field.
2007.055,5/16/2007,5/29/2007,Melita Kennedy; ESRI,Correct Kuwait CRS remarks,Coordinate Reference System,24600,,"For projCRS 24600, in remarks amended code from 24600 to 20438."
2007.056,5/22/2007,7/6/2007,"Paul Cooper, BAS.",Add South Georgia data,,,,"Added area 3529, projection 19854 and projCRS 3762."
2007.057,5/22/2007,11/13/2007,OGP,Explain relationship between International Reference Meridian and Greenwich.,,,,GN 0 to be amended to show this information.
2007.058,5/29/2007,3/13/2008,Noel Zinn; ExxonMobil,"Add topocentric coordinate conversions, vertical perspective and Orthographic projection method",Coordinate Operation Method,9602,,"Added coord op param 8834-40, methods 9836-40, axis name 9929-31, CS 4461 and 6512, conversions 15594-95 and 19850, CRSs 5819-21. Subform and subreport browse map proj param value controls amended for new parameters 8834 and 8835. For method 9602, amended reverse formula and information source."
2007.059,6/1/2007,6/2/2007,Damian Graham; LICJ,Add Jamaica JAD2001.,,,See 2007.001.,Data already in db v6.12 - correspondent advised.
2007.06,7/2/2007,7/2/2007,OGP,Correct spelling of Colombia NMA,Datum; Coordinate Reference System; Coordinate Operation,6218 6686; 4996-97 3114-18; 18055-59 15714 15716 15718 15720 15722 15724 15726 15728 15730-37;,,"For datums 6218 6686, projections 18055-59, CRSs 4996-97 and 3114-18, tfms 15714-28 (even numbers only) and 15730-37, in information source corrected spelling of Codazzi. For projections 18051-54, added information source."
2007.061,7/4/2007,7/6/2007,Werner Flacke; ESRI GmbH,Add Germany NTv2 transformation,,,Logical inconsistency between area for tfm and source CRS.,Added tfms 15948-49 and 15954-55. Remarks regarding area of applicability added to CRS 4314.
2007.062,5/11/2007,9/25/2007,Morten Nielsen; Iter,Add spherical Mercator for web mapping applications,,,See 2007.041,
2007.063,7/6/2007,7/7/2007,Guy Bergeron; CTI / ENR,Problem with report for CRS 4140,,,"CRS code 4140 NAD83(CSRS98) has been deprecated. It has been replaced by NAD83(CSRS), code 4617. However the same datum record (code 6160) is used. We have no error-trapping in our reports when no infomation is returned.",Advised correspondent.
2007.064,7/6/2007,7/6/2007,OGP,Correct Fiji tfm target CRS,Coordinate Operation,15905-06,See change record 2007.017.,Deprecated tfms 15905-06 and added replacements 15950-51.
2007.065,7/12/2007,7/12/2007,OGP,Add missing aliases to ETRS89 transformations,Coordinate Operation,See action field.,Change ID and date fields not changed.,Added aliases codes 3897-3950 and 3954-69 for tfms 1036 1039 1041 1054 1066 1078 1098 1437 1591 1619-20 1622 1624 1626 1628 1630 1632 1634 1638 1642 1644 1646-48 1650-53 1655 1657 1659 1661 1663 1674 1775-76 1778-80 1783 1785 1829 1878 1953 1992 1997 8654 10001 10003 10021-34 10098 15739-40 15867-68 and 15895.
2007.066,7/13/2007,7/19/2007,James Southgate; BP,Correct Angola tfm area of use,Area; Coordinate Operation,2324; 1326-27,,"For area 2324, added block 18 to area of use description. For tfm 1326, added block 18 comment to remarks. For tfm 1327, added block 18 comment to scope."
2007.067,7/15/2007,7/15/2007,OGP,Correct UK tfm,Coordinate Operation,1040,,"Deprecated tfm 1040 and added replacement 15956. For tfm 1039, amended code in cross-referencing remarks."
2007.068,7/16/2007,7/16/2007,OGP,v6.13 release,,,,
2007.069,7/25/2007,8/1/2007,Melita Kennedy; ESRI,Correct sense of France and New Caledonia emulation transformations,Coordinate Operation,15940-42 15944 15947,,"Deprecated tfms 15940-42, 15944 and 15947 and added replacements 15958-62. For tfms 1053-54, 15939, 15943 and 15945, in remarks amended cross-referenced codes."
2000.06,2/14/2000,3/7/2000,EPSG,Amended NIMA transformation for Iran,Trf_non-poly,1141  8041,Changed source CS from ED50 to ED50(ED77).,Amended EPSG names for non-poly tfm 1141 and geodetic tfm 8041 from 'ED50 to WGS 84 (9)' to 'ED50(ED77) to WGS 84 (2)'.
2000.07,3/7/2000,3/7/2000,EPSG,Change structure of prime meridian relationship in version 5.,Coordinate System,4801-4818  4901-4903,Prime meridian related to geodetic datum instead of geogCS.  Now consistent with ISO 19111 model.,In version 5 for each non-Greenwich geogCS 4801-17 & 4901-03 create a new geodetic datum 6801-17 & 6901-03; relate the relevant prime meridian to the datum; change the geogCS to relate to the new datum.
2000.08,3/7/2000,3/7/2000,EPSG,Modify parameter names for Tunisia Mining Grid method,Tfm_method,9816,This eliminates the ambiguous parameters 'Latitude of Origin' and 'Longitude of Origin'.,Change parameters 1 2 6 and 7 from 'Latitude of Origin'  'Longitude of Origin' 'False Easting' and 'False Northing'  to 'Latitude of False Origin'  'Longitude of False Origin' 'Easting at False Origin' and 'Northing at False Origin' respectively.
2000.091,3/7/2000,3/7/2000,EPSG,Remove unnecessary spaces from US State Plane CS zone names,HorizCS,26748 26750 26756-59 26766-74 26783-85 26796 26801 26803 26948 26956-57  26961-66 26968-74 26983-85 26996 26998 32007 32009-12 32014-15 32017 32019 32030 32036 32045 32055-58 32100 32104 32107 32110-11 32115 32117 32119 32130 32136 32145 32155-58,,Deleted double or trailing spaces from EPSG name.
2000.092,3/7/2000,3/7/2000,EPSG,Remove unnecessary spaces from US SP projection names and abbreviations,Trf_non-poly,10201 10203 10700 10901-02 11001-02 11101-03 11201-02 11301-02 11801-02 12101 12103 12401 12403 12701 12703 12800 13001 13003 13101 13103 14901-04 14931-34,,Deleted double or trailing space from EPSG name and abbreviation fields.
2000.093,3/7/2000,3/7/2000,EPSG,Remove unnecessary spaces from projection names,Trf_non-poly,10231 10233 12702  18171-75,,Deleted double or trailing space from EPSG name field.
2000.094,3/7/2000,3/7/2000,EPSG,Remove unnecessary spaces from projection abbreviations,Trf_non-poly,10600 10630 10730 11900 11930 12530 12630 12830 12900 12930 13200 13230 13800 13830 13930 14100 14130 14400 14430 15201-02 16061 16161 18113-14 18116,,Deleted trailing space from EPSG abbreviation field.
2000.095,3/7/2000,3/7/2000,EPSG,Correct transformation name,Trf_non-poly  Geod_trf,1333  8393,,"Changed ""... to WGS84"" to ""... to WGS 84"" in EPSG name field for 1333.  Deleted double space in geod_trf EPSG name for 8393."
2000.1,3/7/2000,3/7/2000,Jean-Patrick Girbig; IHS Energy,Add Europe Gauss-Kruger zones and coordinate systems for Yugoslavia.,,,,Added proj 16261-68 and 16361-68; added ProjCS 31265-68.
2000.101,3/7/2000,3/7/2000,Jean-Patrick Girbig; IHS Energy,Amend Germany CS,HorizCS,31491-95,Changes name from DHDN / Germany zone x to DHDN / Gauss zone x.,Replaced Germany projCS 31491-95 with 31461-65 respectively.  Deleted proj 18101-05.
2000.11,3/7/2000,3/7/2000,EPSG,Correct spelling of Netherlands Vertical CS,VertCS,5709,,"Changed EPSG name spelling from ""Noormal Amsterdam Piel"" to  ""Normaal Amsterdam Peil""."
2000.12,3/7/2000,3/7/2000,Rossano Carlotti; AGIP,Add Equatorial Guinea data,,,No information supplied.,None.
2000.13,3/3/2000,3/7/2000,Bruno Ravanas; Total-Fina,Add Cuba data,,,,Added projCS 2084-85; tfm 1530; tfm path 8381; single_geod_tfm 8519.
2000.14,3/7/2000,5/10/2000,EPSG,Delete units for interpolation methods,Trf_non-poly,1241 1243 1312-13 1450 1451 1454-57 1461-64 1472 1474-1503 1506-07,Data file and coordinate system names do not have units.  Units are addressed within the application using the data file.,Delete units code.
2000.15,3/3/2000,5/8/2000,Bruno Ravanas; Total-Fina,Add Cabinda transformation data,,,,Added tfm 1557; tfm path 8344; single_geod_tfm 8557.
2000.16,3/3/2000,3/7/2000,Bruno Ravanas; Total-Fina,Add Angola transformation data,Trf_non-poly,1321,,Changed parameter values 1 through 3 from -42.5  -342.5 and -228.1 to -41.8  -342.2 and -228.2 respectively.
2000.17,3/3/2000,3/7/2000,Bruno Ravanas; Total-Fina,Add Argentina data,,,,Added geodetic datums 6160-61; geogCS 4160-61; projCS 2081-82; tfm 1527-28; tfm path 8383-85; single_geod_tfm 8515-16; concat_geod_tfm 8517.
2000.18,3/3/2000,3/7/2000,Bruno Ravanas; Total-Fina,Add Argentina Tierra del Fuego data,,,,Added projCS 2083-4; tfm 1529; tfm path 8382; single_geod_tfm 8518.
2000.19,3/3/2000,10/19/2000,Bruno Ravanas; Total-Fina,Add Bolivia transformation data,,,,Added geodetic transformations 1582 and 1583.
2000.2,3/3/2000,10/19/2000,Bruno Ravanas; Total-Fina,Correct/add Colombia data,Geodetic Datum  Coordinate System  Coordinate Transformation,6218 6802 4218  4802 21817-18 21891-94 1125 1258 8174,,"Changed name from ""Bogota"" to ""Bogota 1975"" throughout.  Added geod tfm 1597"
2000.21,3/3/2000,3/7/2000,Bruno Ravanas; Total-Fina,Add UAE transformation data,,,,Added tfm 1531; tfm path 8380; single_geod_tfm 8520.
2000.22,3/3/2000,3/7/2000,Bruno Ravanas; Total-Fina,Add Gabon data,,,,Added tfm 1532; tfm path 8379; single_geod_tfm 8521.
2000.23,3/3/2000,3/7/2000,Bruno Ravanas; Total-Fina,Correct Indonesia transformation data,Trf_non-poly,1282,,Reversed signs of parameter values 2 and 3.
2000.24,3/3/2000,10/19/2000,Bruno Ravanas; Total-Fina,Add Iran data,,,Data offered either already in db or not in public use.,None
2000.25,3/3/2000,3/7/2000,Bruno Ravanas; Total-Fina,Add Libya data,,,,Add geodetic datum 6159; geogCS 4159; Proj 16412; projCS 2068-80 2087.
2000.26,3/3/2000,3/7/2000,Bruno Ravanas; Total-Fina,Add Myanmar data,,,,Added tfm 1533; tfm path 8378; single_geod_tfm 8522.
2000.27,3/3/2000,3/7/2000,Bruno Ravanas; Total-Fina,Add Nigeria data,,,,Added tfm 1534; tfm path 8377; single_geod_tfm 8523.
2000.28,3/3/2000,6/5/2001,Bruno Ravanas; Total-Fina,Add Oman data,Coordinate Transformation,1439,,Amended version and added remarks to geod tfm 1439. Added geod tfm 1616-17 and concatenated tfm 8581. Added compound CRS 7410.
2000.29,3/3/2000,3/7/2000,Bruno Ravanas; Total-Fina,Add Qatar data,HorizCS,4285  28600,,Amended geogCS name from Qatar to Qatar 1974; amended geogCS for projCS 28600 from Qatar 1948 (code 4286) to Qatar 1974 (code 4285).  Amended area of use of geogCS 4270 and projCS 27039.  Added tfm 1535-36; tfm path 8375-76; single_geod_tfm 8524-25.
2000.3,3/3/2000,3/7/2000,Bruno Ravanas; Total-Fina,Add Thailand data,,,,Added tfm 1537; tfm path 8374; single_geod_tfm 8526.
2000.31,3/3/2000,3/7/2000,Bruno Ravanas; Total-Fina,Add Tunisia data,,,,Added proj 16411; projCS 2088; tfm 1538; tfm path 8373; single_geod_tfm 8527.
2000.32,3/3/2000,3/7/2000,Bruno Ravanas; Total-Fina,Add Venezuela data,,,Data offered either already in db or not in public use.,None.
2000.33,3/3/2000,3/7/2000,Bruno Ravanas; Total-Fina,Add Yemen data,,,,Added geodetic datums 6163-64; geogCS 4163-64; projCS 2089-92;  tfm 1539-40; tfm path 8370-72; single_geod_tfm 8528-29; concat_geod_tfm 8530.
2000.34,3/7/2000,3/7/2000,EPSG,Add International metre alias,,,,Added unit of measure alias 9091 (version 5 only).
2000.35,3/7/2000,3/7/2000,EPSG,Add Trinidad and Tobago data,,,,Added geod_datums 6157-58; geogCS 4157-58; projCS 2066-67.
2000.351,3/7/2000,3/7/2000,EPSG,Amend Trinidad and Tobago data,HorizCS  Tfm_non-poly,27120  1295 1307,,Amended abbreviation for projCS 27120 from 'Naparima / UTM 20N' to 'Naparima 1972 / UTM 20N'.  Replaced single geod tfm 1295 with 1555 and geod tfm 8212 with 8555. Added tfm_nonpoly 1556; tfm_path 8345; geod_tfm 8556.
2000.36,3/7/2000,3/7/2000,EPSG,Add Egypt transformation data.,,,,Added tfm 1545-46; tfm path 8362-64; single_geod_tfm 8536 8538; concat geod tfm 8537.
2000.37,3/7/2000,3/7/2000,EPSG,Change Dutch projectedCS name.,HorizCS,28991-92,,Changed projCS names from RD / Netherlands New [Old] to Amersfoort / RD New [Old].
2000.38,4/7/2000,4/8/2000,Martin Daly;  Cadcorp,Remove double spaces from EPSG names,Trf_non-poly  HorizCS  Geod_trf,10201 10203 10231 10233 18171-5 26948 26958-59 26961-74 26983-84 26996 26998 32107 32115 32117 8393,These corrections already made - see change requests 2000.091-2000.094,Advised reporter.
2000.39,4/20/2000,4/23/2000,Melita Kennedy; ESRI,Correct Indian grid FE and FN,Tfm_nonpoly,18231-5  18238,Conversion from yards to metres transposed.,For 18231-5 amended parameter 6 from 2743185.69 to 2743195.5 and parameter 7 from 914395.23 to 914398.5;  for 18238 amended parameter 6 from 2743195.5  to 2743185.69 and parameter 7 from 914398.5 to 914395.23.
2000.4,5/1/2000,10/19/2000,Melita Kennedy; ESRI,Alternative definition for Belgium grid,Coordinate System; Coordinate Transformation; Transformation Method,31300  19902  9803,,Added proj 19961; projCS 31370. Added remarks to proj 19902; projCS 31300 and tfm method 9803.  Added geod tfm 1609-10.
2000.41,5/2/2000,10/19/2000,Jim Cain; Baker Hughes,Check War Office ellipsoid parameters.,Ellipsoid,7029,There has been confusion with foot-metre conversions.  See also change record 2000.710.,Added Length Unit 9094.  Changed War Office ellipsoid sma from 6378300.583 to 6378300; added alias and remarks.
2000.42,5/3/2000,5/3/2000,Gary Masters; POSC,Remove codes from unknown datums and geogCS,Geodetic Datum;  Coordinate System,6000-6045;  4000-4045,v5.0 only.,Amended names of unspecified datums and unknown geogCSs to include ellipsoid names rather than code.
2000.43,5/1/2000,5/8/2000,Melita Kennedy; ESRI,Add S-JTSK system for Czech Republic.,,,Already added. See 1999.710.,Advised reporter.
2000.44,5/10/2000,6/10/2000,Simon-Pierre Cadieux; Methodex,Add transformation for Western Australia,,,,Added tfm 1559; tfm path 8341-42; single_geod_tfm 8559; concat geod tfm 8560.
2000.451,6/10/2000,11/6/2001,EPSG,Make forms and reports aesthetically consistent.,,,Not implemented in v5.,Implemented in v6.
2000.452,6/10/2000,10/19/2000,EPSG,Improve depiction of aliases on forms.,,,Implemented in v5.1of database,Changed access to Aliases from Command Button to embedded subform for all affected object types.
2000.453,6/23/2000,11/6/2001,EPSG,Move v5 Area table ISO fields to Alias table,,,,Retained in v6.1 Area table.
2000.46,6/8/2000,6/10/2000,Bruno Ravanas; Total-Fina,Add Suriname projCSs,HorizCS,24821,Suriname Stereographic not added as geodetic datum uncertain.,Added proj 17054 19954 19955; projCS 31154 31170 31171.  Deleted Suriname from area of use for 24821(PSAD56 / UTM 21N).
2000.47,6/10/2000,6/23/2000,Tony Maultsby; Conoco,Clarify Algeria Voirol Unifie,HorizCS  Geod_Datum  Geod_trf Trf_path Trf_non-poly,4305 4812 30591-92 8158 8171 8177 8558 8574-75 1255 1267,,Replaced projCS 30591-92 with projCS 30791-92.  Deleted geogCS 4305 4812 geod datum 6305 6812. Added geogCS 4819 and to v5 only geod datum 6819.  Renamed tfm 1255 (and in v4.5 geod tfm 8158) from Voirol Unifie... to Nord Sahara....
2000.471,6/10/2000,6/23/2000,Tony Maultsby; Conoco,Clarify Algeria transformations,,,,Added non_poly tfm 1560; trf_path 8339-8340; geod_trf 8561-62.
2000.472,8/15/2000,10/19/2000,EPSG,Amend Algeria Lambert projection remarks,Coordinate Transformation,18021-22,Overlooked in change request 2000.470,"Changed remarks from ""Voirol Unifie 1960"" to ""Nord Sahara 1959""."
2000.481,6/26/2000,6/26/2000,EPSG,Version 4.5 release,,,Data update.  Changes through 2000.470 but with actions still remaining on some earlier change requests.,Version 4.5 database to web site.
2000.482,6/26/2000,6/26/2000,EPSG,Version 5.0 release,,,Database structure update.  Changes through 2000.470 but with actions still remaining on some earlier change requests.,Version 5.0 database to web site.
2000.49,6/21/2000,10/19/2000,Richard Wylde; SIMA,Add new north Norway transformation,,,See 1999.271 for area east of 5 deg E.,Added geod tfm 1588-90 and concatenated tfm 8569-70.
2000.5,6/22/2000,11/6/2001,Paul Hopgood; Hydrosearch,Link change table to records.,,,,Not considered to be necessary.
2000.51,6/22/2000,11/6/2001,Paul Hopgood; Hydrosearch,Link area table to records.,,,,Implemented in v6.1.
2000.52,7/5/2000,10/19/2000,Melita Kennedy; ESRI,Add American Samoa data,,,,Added geodetic datum 6169; geogCS 4169; proj 15300; projCS 2155-56; geodetic tfm 1577-79 8474-75
2000.53,7/14/2000,10/19/2000,"Roger Lott, BP Amoco",Correct names for Qatar transformations,Coordinate Transformation,1210  1535-36,"Effectively changes name from ""Qatar to WGS 84"" to ""Qatar 1974 to WGS 84"".","Deleted tfm 1210 and 1535.  Added tfm 1561 and 1562.  Changed area of use, info source and remarks for 1236."
2000.531,7/14/2000,10/19/2000,"Roger Lott, BP Amoco",Add Qatar transformation,,,,Added tfm 1563.
2000.54,7/19/2000,10/19/2000,EPSG,Correct single geodetic transformation show fields,Coordinate Transformation,1100-1106  1470,,Change Show field from No to Yes.
2000.55,8/4/2000,10/19/2000,EPSG,Correct North Sea transformation remarks,Coordinate Transformation,1025,,Changed remarks comments A1-A15 and B1-B15 to A0-A14 and B0-B14.
2000.56,9/5/2000,10/19/2000,Richard Wylde; SIMA,Update Netherlands CS and transformation information,,,,Add compound CS 7408; geod tfm 1571; concat tfm 8572.  Amended remarks for geod datum 6289.
2000.57,10/3/2000,10/19/2000,Simon-Pierre Cadieux; Methodex,Add new Quebec transformation data and old projected CS,,,,Added geod tfm 1572-76 and concat tfm 8564-66.  Changed: area of use for 1463; remarks for 1451 1462 8243 8394 8404; version for 1313 1451 1462.  Added projCS 32098 and 2138.
2000.58,7/29/2000,10/19/2000,Alan Reid; Reid Geophysical,Resolve problem with running db under Access 2000 and NT,,,Converted MSAccess2000 problems with this database have not appeared when running under Win2000,Add comments to Readme file to indicate the operating system issue  when running Access2000.
2000.581,8/3/2000,10/19/2000,Mario Hilgemeier; Megatel,Provide Access 2000 version of db,,,See 2000.580,Comments made to readme file.
2000.59,7/21/2000,10/19/2000,Melita Kennedy; ESRI,Check bin grid scale units,Unit of measure,9204-11,,Changed UoM type from scale to length.
2000.6,7/21/2000,10/19/2000,Roel Nicolai; Shell,Correct Borneo RSO definition,Transformation Method; Coordinate System; Coordinate Transformation,9812  9815; 19912;  29871-73,"The change of projection parameters to be consistent with source information requires a change of method.  19912 used method 9812, 19956-58 using method 9815 are equivalent.",Deleted projection 19912 and replaced it with 19956-58; amended projCSs 29871-73 to link to proj 19956-58 respectively instead of 19912.  Corrected formulae and examples for tfm methods 9812 and 9815.
2000.601,10/19/2000,10/19/2000,Roel Nicolai; Shell,Add Borneo transformation,,,,Added geod tfm 1592.
2000.611,10/5/2000,10/19/2000,Roger Lott; bp,Add British transformations,,,,Added transformation parameter 8664; transformation method 9633; geodetic transformation 1036; concatenated transformation 8567.
2000.612,10/5/2000,10/19/2000,Roger Lott; bp,Add Irish systems and transformation,Coordinate System,4230,,Added geodetic datum 6173; geogCS4173; proj 19962; projCS 2157-58; geod tfm 1611; concat tfm 8580.  Added Ireland to area of use for geogCS ED50 (code 4230).
2000.62,10/6/2000,6/5/2001,K R Santhosh; Coordinates India,Add Indian polyconic projection,,,Definition required.,Case closed as no info received from reporter.
2000.63,10/3/2000,10/19/2000,Andre Verville; Softmap,Add military grid reference system,,,"Outside scope of EPSG db because it is an area indexing system, not a coordinate system.",Informed reporter
2000.64,10/19/2000,1/18/2002,EPSG,Allow forms and reports to include alias within filtering by name,,,,Completed on reports v6.1 but not possible on subforms.
2000.65,10/19/2000,6/5/2001,EPSG,Add facility for user logo on forms and reports,,,,Fully implemented in v5.2 and v6.0.
2000.66,10/19/2000,10/19/2000,EPSG,Correct New Brunswick transformation detail,Coordinate Transformation,1472,,"Change tfm name from ""ATS 77..."" to ""ATS77 ... "" and file name from NT7783v2.gsb to NB7783v2.gsb"
2000.661,10/19/2000,10/19/2000,EPSG,Add Canada maritime province interpolation tfms,,,,Added tfm method 9634; trfm parameter 8665; geodetic tfms 1603-08.
2000.67,10/19/2000,8/15/2001,EPSG,Replace concatenation of ITRF-based CRS to WGS84,,,,See change records 2001.221-2001.228
2000.68,10/19/2000,10/19/2000,EPSG,Correct binary transformation data for Western Australia,Coordinate Transformation,1559 8560,Changed most current file name from wa_0400.gsb to wa_0700.gsb,Added geod tfm 1593; concat tfm 8579.  Remarks added to tfms 1559 8560
2000.681,10/19/2000,10/19/2000,EPSG,Update binary transformation data for Australia,,1459 1464 8408,,Added geod tfms 1594-1596; concat tfms 8576-78  Remarks added to tfms 1459 1464 8408
2000.69,10/19/2000,10/19/2000,EPSG,Add country names to continental CS and transformations,Coordinate System; Coordinate Transformation,Many,,Amended Area of Use field as appropriate.
2000.701,10/19/2000,10/19/2000,EPSG,Add New Zealand GD2000 and transformations,,,,Added geodetic datum 6167 and geogCS 4167.  Added transformations 1564-1568 and 8563.
2000.702,10/19/2000,10/19/2000,EPSG,Amend New Zealand GD49 name,Coordinate System; Geodetic Datum; Coordinate Transformation,4272  27200  27291-92  6272  1151,,"In geogCS 4272, projCS 27200 27291-92 and geodetic transformation 1151, changed name from GD49 to NZGD49; added alias GD49. Added second alias to geodetic datum 6272."
2000.703,10/19/2000,10/19/2000,EPSG,Add New Zealand meridional circuits,,,,Added proj 17901-28 and 17931-58; projCS 2105-2132 and 27205-27232.
2000.704,10/19/2000,10/19/2000,EPSG,Add New Zealand offshore UTM CS,,,,Added projCS 2133-2135 and 27258-27260.
2000.71,10/19/2000,10/19/2000,EPSG,Add pre-metric Ghana data,,,See also change record 2000.410.,Added UoM 9094; geodetic datum 6168; geogCS 4168; proj 17001 and 19959; projCS 2136-37; geodetic transformation 1569-70 and concat tfm 8571.  Added remarks to geod datum 6250 and proj 19904.
2000.72,10/19/2000,10/19/2000,EPSG,Change ETRF89 to ETRS89,Geodetic Datum; Coordinate System; Coordinate Transformation,6258;  4258  25828-38 25884; 1149 1273 1331 1437 8570,See change records 1999.111 and 1999.112,"Changed ETRF to ETRS on names and added alias ETRF for geodetic datum 6258;  geogCS 4258, projCS 25828-38, 25884; geod tfm 1149 1309 1273 1310 1331 1437; concat tfm 8570."
2000.73,10/19/2000,10/19/2000,EPSG,Add French RGF93 CS,,,,Added geodetic datum 6171; geogCS 4171; geod tfm 1591; concat tfm 8573; proj 18085; projCS 2154
2000.74,10/19/2000,10/19/2000,EPSG,Correct Algeria geogCS axis abbreviations,Coordinate System,4819,,Changed axis 1 abbreviation from N to Lat and axis 2 abbreviation from E to Long.
2000.75,10/19/2000,10/19/2000,EPSG,Add Argentina POSGAR data,,,,Added geodetic datum 6172; geogCS 4172; geod tfm 1598
2000.76,10/19/2000,10/19/2000,EPSG,Add Genuk Alias for Batavia,Geodetic Datum; Coordinate System; Coordinate Transformation,6211 4211 4813 21100 21148 21150,See also change record 1999.580.,Added aliases for Genuk to geodetic datum 6211; geogCS 4211 4813; projCS 21100 21148 21150
2000.77,10/19/2000,10/19/2000,EPSG,Expand area of use in Canada to always list applicable provinces,Coordinate System; Coordinate Transformation,Many,,Added all appropriate provinces to appropriate coordinate system and geodetic trf records except 1188 which is restricted by text data type limits.
2000.78,10/19/2000,10/19/2000,EPSG,Correct area of use for WGS 84 / UTM zones 20N; 33N; 34N; 35N,Coordinate System,32620 32633-35,,Amended truncated area of use fields for projCS 32620 32633-35.  Truncation happened when dataset moved from v4.4 to v5.0
2000.79,10/19/2000,10/19/2000,EPSG,Repair form for edit/add coordinate system (compound) to remove duplicate axes when ProjCS or VertCS is used in more than one compound coorinate system,,,,"Changed sql statement from ""select..."" to ""select distinct..."""
