COORD_OP_CODE,COORD_OP_NAME,COORD_OP_TYPE,SOURCE_CRS_CODE,TARGET_CRS_CODE,COORD_TFM_VERSION,COORD_OP_VARIANT,AREA_OF_USE_CODE,COORD_OP_SCOPE,COORD_OP_ACCURACY,COORD_OP_METHOD_CODE,UOM_CODE_SOURCE_COORD_DIFF,UOM_CODE_TARGET_COORD_DIFF,REMARKS,INFORMATION_SOURCE,DATA_SOURCE,REVISION_DATE,CHANGE_ID,SHOW_OPERATION,DEPRECATED
-1,"Nahrwan 1967 to WGS 84, custom method added by Thijs Damsma",transformation,4326,4270,,8,3509,,,9607,,,,,,,,TRUE,FALSE
-2,GDA94 to WGS 84 (2),transformation,4283,4326,EPSG-Aus,1,2575,,1,9606,,,,,,,,TRUE,FALSE
