COORD_AXIS_CODE,COORD_SYS_CODE,COORD_AXIS_NAME_CODE,COORD_AXIS_ORIENTATION,COORD_AXIS_ABBREVIATION,UOM_CODE,ORDER
235,6431,9903,up,h,9001,3
214,6495,9905,down,D,9002,1
111,6496,9904,up,H,9095,1
112,6497,9904,up,H,9003,1
113,6498,9905,down,D,9001,1
114,6499,9904,up,H,9001,1
115,6500,9910,Geocentre > equator/0°E,X,9001,1
116,6500,9911,Geocentre > equator/90°E,Y,9001,2
117,6500,9912,Geocentre > north pole,Z,9001,3
118,6501,9908,west,Y,9001,2
119,6501,9909,south,X,9001,1
120,6502,9908,west,Y,9031,1
121,6502,9909,south,X,9031,2
122,6503,9908,west,Y,9001,1
123,6503,9909,south,X,9001,2
124,6504,9918,north-east,e,9001,2
125,6504,9919,north-west,n,9001,1
126,6505,9913,north-west,n,9001,1
127,6505,9914,north-east,e,9001,2
128,6506,9913,east-south-east,I,9205,1
129,6506,9914,north-north-east,J,9204,2
130,6507,9913,north,X,9001,1
131,6507,9914,west,Y,9001,2
132,6508,9920,east south east,I,9208,2
133,6508,9921,north north east,J,9209,1
134,6509,9908,west,M,9001,2
135,6509,9909,south,P,9001,1
173,6510,9918,north-east,x,9001,1
174,6510,9919,north-west,y,9001,2
177,6511,9922,Along receiver lines,I,9208,1
178,6511,9923,Across receiver lines,J,9209,2
213,6512,9916,up,z,9001,3
211,6512,9918,east,x,9001,1
212,6512,9919,north,y,9001,2
